zip5	dorminant_race	dorminant_income	parents_with_children
01545	white	inc_100k_150k	0.49221653108365976
01550	white	inc_25k	0.4361525704809287
01560	white	inc_25k_50k	0.5364768683274022
01562	white	inc_100k_150k	0.27823604060913704
01564	white	inc_200k	0.3342245989304813
01566	white	inc_100k_150k	0.4197802197802198
01568	white	inc_200k	0.47053276756247053
01569	white	inc_100k_150k	0.4619124797406807
01570	white	inc_25k_50k	0.3831980697521386
01571	white	inc_50k_75k	0.4620138131588513
01581	white	inc_200k	0.5414308811641068
01583	white	inc_50k_75k	0.31192005710206994
01585	white	inc_25k_50k	0.33546617915904936
01588	white	inc_25k_50k	0.43742995890922676
01590	white	inc_100k_150k	0.4346343311860553
01602	white	inc_25k_50k	0.38012221423436376
01603	white	inc_25k	0.42732702837232456
01604	white	inc_25k	0.4633939393939394
01605	white	inc_25k	0.4969602223380233
01606	white	inc_25k	0.4619883040935672
01607	white	inc_25k	0.43327556325823224
01608	hispanic	inc_25k	0.5215605749486653
01609	white	inc_25k	0.33186619718309857
01610	white	inc_25k	0.4960380348652932
01611	white	inc_100k_150k	0.3628158844765343
01612	white	inc_150k_200k	0.35864978902953587
01655	hispanic	inc_25k	""
01701	white	inc_100k_150k	0.349628982976866
01702	white	inc_25k	0.4853762000446528
01718	white	inc_150k_200k	0.4727272727272727
01719	white	inc_200k	0.48253557567917205
01720	white	inc_200k	0.5363305366471426
01721	white	inc_200k	0.4818586887332909
01730	white	inc_200k	0.5193431672696911
01731	white	inc_100k_150k	0.8777120315581854
01740	white	inc_200k	0.4935064935064935
01741	white	inc_200k	0.4012345679012346
01742	white	inc_200k	0.46847582126096715
01745	white	inc_100k_150k	0.48484848484848486
01746	white	inc_200k	0.5016682554814109
01747	white	inc_100k_150k	0.4725130890052356
01748	white	inc_200k	0.4828774062816616
01749	white	inc_100k_150k	0.4015151515151515
01752	white	inc_100k_150k	0.4572991591530747
01754	white	inc_100k_150k	0.388279643591501
01756	white	inc_200k	0.418646080760095
01757	white	inc_100k_150k	0.4346108257605689
01760	white	inc_200k	0.4935186145390439
01770	white	inc_200k	0.4947447447447447
01772	white	inc_200k	0.5366229760986893
01773	white	inc_200k	0.36450511945392494
01775	white	inc_200k	0.47853053435114506
01776	white	inc_200k	0.5172099799672191
01778	white	inc_200k	0.5158359293873312
01801	white	inc_100k_150k	0.39026313196018525
01803	white	inc_100k_150k	0.42633402633402634
01805	hispanic	inc_25k	""
01810	white	inc_200k	0.4954187087151076
01821	white	inc_100k_150k	0.39637448878081133
01824	white	inc_100k_150k	0.42431416237292857
01826	white	inc_100k_150k	0.42537969122630853
01827	white	inc_200k	0.44956140350877194
01830	white	inc_25k	0.4679268670591881
01832	white	inc_25k	0.46542646542646543
01833	white	inc_100k_150k	0.4642998027613412
01834	white	inc_100k_150k	0.38179736691471095
01835	white	inc_50k_75k	0.49294184076792774
01840	hispanic	inc_25k	0.45680933852140077
01841	hispanic	inc_25k	0.5596507352941177
01843	hispanic	inc_25k_50k	0.4961973973297279
01844	white	inc_100k_150k	0.4095134800123954
01845	white	inc_200k	0.47267725397023885
01850	white	inc_25k	0.47951132603715957
01851	asian	inc_25k_50k	0.4631130063965885
01852	white	inc_25k	0.45304080061585833
01854	white	inc_25k	0.44501655020228026
01860	white	inc_25k_50k	0.4276762402088773
01862	white	inc_100k_150k	0.3930075821398484
01863	white	inc_100k_150k	0.4481757877280265
01864	white	inc_200k	0.4082547169811321
01867	white	inc_200k	0.447953216374269
01876	white	inc_100k_150k	0.39677219118559903
01879	white	inc_100k_150k	0.4656019656019656
01880	white	inc_100k_150k	0.3923705722070845
01886	white	inc_200k	0.5324232081911263
01887	white	inc_100k_150k	0.39091048671886997
01890	white	inc_200k	0.5359960552268245
01901	white	inc_25k	0.42386831275720166
01902	hispanic	inc_25k	0.5227425069424495
01904	white	inc_100k_150k	0.4424089764140142
01905	hispanic	inc_25k	0.4905849025162473
01906	white	inc_100k_150k	0.3398442835678186
01907	white	inc_200k	0.44595300261096604
01908	white	inc_25k_50k	0.27169421487603307
01910	hispanic	inc_25k	""
01913	white	inc_100k_150k	0.47003994673768307
01915	white	inc_100k_150k	0.37525076549466796
01921	white	inc_200k	0.4228215767634855
01922	white	inc_200k	0.35131744040150564
01923	white	inc_100k_150k	0.3920210555478598
01929	white	inc_100k_150k	0.46028513238289204
01930	white	inc_25k	0.31861708742693695
01937	hispanic	inc_25k	""
01938	white	inc_100k_150k	0.3921938088829071
01940	white	inc_200k	0.4219015280135823
01944	white	inc_200k	0.37406015037593987
01945	white	inc_200k	0.43496621621621623
01949	white	inc_100k_150k	0.3445301861098502
01950	white	inc_200k	0.4090524534686971
01951	white	inc_100k_150k	0.34144363341443634
01952	white	inc_100k_150k	0.36060329067641683
01960	white	inc_25k_50k	0.36575037147102524
01966	white	inc_75k_100k	0.3059548254620123
01969	white	inc_200k	0.41845979614949036
01970	white	inc_25k	0.3926898798615353
01982	white	inc_200k	0.4772829509671615
01983	white	inc_200k	0.4919667590027701
01984	white	inc_200k	0.44223107569721115
01985	white	inc_200k	0.43452380952380953
02019	white	inc_100k_150k	0.4252506836827712
02021	white	inc_200k	0.45603203737693976
02025	white	inc_200k	0.49466666666666664
02026	white	inc_200k	0.38913111180317655
02030	white	inc_200k	0.49477351916376305
02032	white	inc_200k	0.519051651143099
02035	white	inc_100k_150k	0.43568095978671406
02038	white	inc_200k	0.5116800377536573
02043	white	inc_200k	0.49879595440680685
02045	white	inc_100k_150k	0.31963814549566527
02048	white	inc_100k_150k	0.47547169811320755
02050	white	inc_100k_150k	0.43886743886743884
02052	white	inc_200k	0.5328076598141369
02053	white	inc_100k_150k	0.4834215658957927
02054	white	inc_100k_150k	0.387737843551797
02056	white	inc_200k	0.46344249809596344
02061	white	inc_200k	0.5008210180623974
02062	white	inc_100k_150k	0.42635243706480985
02066	white	inc_200k	0.4090909090909091
02067	white	inc_200k	0.49732722413134783
02071	white	inc_100k_150k	0.5092250922509225
02072	white	inc_100k_150k	0.39911988265102016
02081	white	inc_200k	0.4594543387646836
02090	white	inc_200k	0.4778782112274025
02093	white	inc_200k	0.454928095405121
02108	white	inc_200k	0.31856540084388185
02109	white	inc_200k	0.1967930029154519
02110	white	inc_200k	0.42592592592592593
02111	asian	inc_25k	0.2763433356594557
02113	white	inc_100k_150k	0.2010989010989011
02114	white	inc_200k	0.30411361410381976
02115	white	inc_25k	0.37307380373073806
02116	white	inc_200k	0.18488593155893537
02118	white	inc_25k	0.3828701077708451
02119	black	inc_25k	0.493148367450516
02120	white	inc_25k	0.4112015318334131
02121	black	inc_25k	0.5115824308062575
02122	white	inc_25k	0.4250374812593703
02124	black	inc_25k	0.46104001295966307
02125	black	inc_25k	0.45836516424751717
02126	black	inc_25k	0.41945552280215015
02127	white	inc_25k	0.3888561320754717
02128	hispanic	inc_25k	0.492089925062448
02129	white	inc_200k	0.43043777217510887
02130	white	inc_100k_150k	0.43851028061554376
02131	white	inc_25k	0.4579111457521434
02132	white	inc_100k_150k	0.3910149750415973
02134	white	inc_25k	0.2952243125904486
02135	white	inc_25k	0.3179207774996319
02136	black	inc_25k	0.44074593944255064
02138	white	inc_200k	0.3966772151898734
02139	white	inc_100k_150k	0.4489657511020685
02140	white	inc_200k	0.4180292598967298
02141	white	inc_25k	0.37406089363384737
02142	white	inc_200k	0.3695652173913043
02143	white	inc_100k_150k	0.3717728055077453
02144	white	inc_100k_150k	0.3303132280610924
02145	white	inc_100k_150k	0.3909318100678329
02148	white	inc_25k	0.4222392317862362
02149	white	inc_25k_50k	0.48773892773892774
02150	hispanic	inc_25k	0.5607546233089239
02151	white	inc_25k_50k	0.43353766736570415
02152	white	inc_25k_50k	0.3893866299104066
02155	white	inc_100k_150k	0.3605743112145906
02163	white	inc_25k	0.49411764705882355
02169	white	inc_25k	0.38229672107043083
02170	white	inc_25k	0.3740147470124587
02171	white	inc_100k_150k	0.2971627675460428
02176	white	inc_100k_150k	0.44766528630586894
02180	white	inc_100k_150k	0.3629692832764505
02184	white	inc_100k_150k	0.45675884102677095
02186	white	inc_200k	0.49155478562148114
02188	white	inc_100k_150k	0.3935173461635857
02189	white	inc_50k_75k	0.43889027743064235
02190	white	inc_100k_150k	0.40950384346610763
02191	white	inc_50k_75k	0.3085399449035813
02199	white	inc_200k	0.17847025495750707
02203	white	inc_200k	0.0
02210	white	inc_200k	0.20205479452054795
02215	white	inc_25k	0.24516129032258063
02222	white	inc_25k	0.3
02301	black	inc_25k	0.5206742544301973
02302	white	inc_25k	0.44682214249103025
02322	white	inc_25k_50k	0.3684710351377018
02324	white	inc_100k_150k	0.4129865596090068
02325	white	inc_25k	""
02330	white	inc_25k_50k	0.3875385142074632
02332	white	inc_200k	0.45708446866485014
02333	white	inc_100k_150k	0.44114411441144114
02338	white	inc_100k_150k	0.37465309898242366
02339	white	inc_200k	0.46563483735571876
02341	white	inc_100k_150k	0.34399455597141887
02343	white	inc_100k_150k	0.3560030395136778
02346	white	inc_100k_150k	0.373488299041935
02347	white	inc_100k_150k	0.3913612565445026
02350	white	inc_75k_100k	0.5454545454545454
02351	white	inc_100k_150k	0.37053277789958344
02356	white	inc_200k	0.46568332329921736
02359	white	inc_100k_150k	0.4159329140461216
02360	white	inc_100k_150k	0.34431859260151826
02364	white	inc_100k_150k	0.4393095768374165
02367	white	inc_100k_150k	0.34857849196538937
02368	black	inc_100k_150k	0.33855947188494634
02370	white	inc_100k_150k	0.42027670673622136
02375	white	inc_100k_150k	0.4323589394969409
02379	white	inc_100k_150k	0.42857142857142855
02382	white	inc_100k_150k	0.4713562483346656
02420	white	inc_200k	0.5297674418604651
02421	white	inc_200k	0.5501290450665078
02445	white	inc_200k	0.49330900243309
02446	white	inc_200k	0.415927633912735
02451	white	inc_100k_150k	0.3171030095424517
02452	white	inc_100k_150k	0.35272965021248776
02453	white	inc_100k_150k	0.41796107837886093
02458	white	inc_200k	0.5108396946564886
02459	white	inc_200k	0.44735276621058895
02460	white	inc_200k	0.49447852760736194
02461	white	inc_200k	0.5160517489218974
02462	white	inc_200k	0.4176470588235294
02464	white	inc_100k_150k	0.5011933174224343
02465	white	inc_200k	0.5392125984251969
02466	white	inc_200k	0.49975716367168527
02467	white	inc_200k	0.47970838396111787
02468	white	inc_200k	0.44202066590126293
02472	white	inc_100k_150k	0.367805223968798
02474	white	inc_200k	0.49805916209342793
02476	white	inc_200k	0.4513231366836611
02478	white	inc_200k	0.5179710144927536
02481	white	inc_200k	0.5743865030674846
02482	white	inc_200k	0.5056916177992411
02492	white	inc_200k	0.5112241318835496
02493	white	inc_200k	0.4672402382528127
02494	white	inc_200k	0.5046869141357331
02532	white	inc_100k_150k	0.25854513584574934
02534	white	inc_75k_100k	0.31386861313868614
02535	white	inc_200k	0.2920634920634921
02536	white	inc_25k_50k	0.2700362464760371
02537	white	inc_100k_150k	0.3478760045924225
02538	white	inc_25k_50k	0.35532516493873706
02539	white	inc_25k_50k	0.3582718651211802
02540	white	inc_25k	0.28468142792589246
02542	white	inc_25k_50k	0.7154150197628458
02543	white	inc_200k	0.2122905027932961
02554	white	inc_100k_150k	0.4229406554472985
02556	white	inc_100k_150k	0.2656826568265683
02557	white	inc_100k_150k	0.0
02558	white	inc_25k_50k	0.05472636815920398
02559	white	inc_25k_50k	0.2884250474383302
02561	white	inc_75k_100k	0.2857142857142857
02562	white	inc_50k_75k	0.31645569620253167
02563	white	inc_100k_150k	0.3114874815905744
02564	white	inc_100k_150k	0.3
02568	white	inc_25k_50k	0.37120060790273557
02571	white	inc_25k_50k	0.3898996235884567
02576	white	inc_100k_150k	0.39832285115303984
02601	white	inc_25k	0.42374854481955765
02630	white	inc_100k_150k	0.23777403035413153
02631	white	inc_50k_75k	0.2476123098691192
02632	white	inc_50k_75k	0.2909280500521376
02633	white	inc_100k_150k	0.1732283464566929
02635	white	inc_50k_75k	0.2565217391304348
02638	white	inc_25k_50k	0.1332694151486098
